"mention_id","event_id","account_id","start_position","length","task_id","team_id","dtype","workspace_id"
"1d1e7631-9c06-469a-85ba-cf9d1b7788c2","09c45199-c945-41b0-9e6e-46183e900ea6","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"956269ac-b291-48a9-b0ae-8d48162c77db","917d58e6-03e5-4277-a109-84fc96e9c5bd","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
"b90c596c-8806-4040-93d6-c1187f6a26e2","c1de99c3-f976-4e60-9ab4-f30a928c948e","5554fd78-076b-4965-b8dd-73ad778ae04d","0","20","null","null","AccountMention","null"
"cf02b688-522e-44dc-82bd-72c99a8406fc","94bf8389-91f1-436a-a775-8fa833c39ff6","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"3ed973aa-310b-47b1-85ef-55b2720479a7","1f1f6a23-a08c-4d31-b32d-c99851e48016","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"d5fd3bea-f09b-47cc-a7e4-4da411c7c889","3346b8ae-b688-49ac-abd0-6b80cce51f8a","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"65fb6d71-29d5-46f5-b217-d2c8d9714e48","354d67a6-6abf-4464-a718-338a2e4aac3a","3949b4a2-f0a3-4ff8-b58e-8b91aebdcc73","0","12","null","null","AccountMention","null"
"efc418e3-22a3-4f6a-881d-d606cc00dca2","4dc991aa-e49c-4314-87a0-08772e58a866","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"c32ed885-818b-423a-8cf8-1048b09a341a","f1ec3bff-3e23-4fff-bf83-3610888a8ad7","2587fcf9-00b7-4bc5-9b07-7fd4709a022d","0","10","null","null","AccountMention","null"
"7ab1118a-9de8-4e59-a13d-59710abeda95","2bf34183-0ada-41d0-9e55-fd11dbf5bc21","f174699c-1b01-493f-90b1-52082766fbf7","0","14","null","null","AccountMention","null"
"4df3a397-b213-4762-beee-0d6434375c02","a6296606-7189-4137-b6e5-467acc388d29","ad5062f1-e11b-4e33-a1f8-7ea004fd030d","0","14","null","null","AccountMention","null"
